,id,solili_id,thumbnail,leasing_company,building_id,building_name,space_slug,building_municipality_address,divisible_minimum,available_sqm,rent_price,rent_currency,sale_price,sale_currency,industrial_park,market,all_confirmed,is_favorite,space_membership,is_for_rent,Estado
6367,22997,SO-22997,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/22997/,,44.68,335.72,MXN,,,6,Queretaro,True,False,5,True,False,Querétaro
6368,23002,SO-23002,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23002/,,56.31,390.69,MXN,,,6,Queretaro,True,False,5,True,False,Querétaro
6369,23003,SO-23003,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23003/,,31.45,365.66,MXN,,,6,Queretaro,True,False,5,True,False,Querétaro
6370,23004,SO-23004,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23004/,,44.68,317.82,MXN,,,6,Queretaro,True,False,5,True,False,Querétaro
6371,23010,SO-23010,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-venta/orvit-torre-i-queretaro-que/23010/,,33.12,286.84,MXN,45289.86,MXN,7,Queretaro,True,False,5,True,True,Querétaro
6372,23011,SO-23011,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23011/,,30.79,405.98,MXN,,,7,Queretaro,True,False,5,True,False,Querétaro
6373,23012,SO-23012,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23012/,,34.52,,MXN,,,8,Queretaro,True,False,5,True,False,Querétaro
6374,23013,SO-23013,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23013/,,89.03,179.71,MXN,,,8,Queretaro,True,False,5,True,False,Querétaro
6375,23014,SO-23014,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23014/,,134.12,260.96,MXN,,,9,Queretaro,True,False,5,True,False,Querétaro
6376,23015,SO-23015,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23015/,,198.46,277.13,MXN,,,9,Queretaro,True,False,5,True,False,Querétaro
6377,23016,SO-23016,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/23016/,,93.03,,MXN,,,9,Queretaro,True,False,5,True,False,Querétaro
6378,23038,SO-23038,https://solili.s3.amazonaws.com/media/PO-4168_thumbnail_1558122841.jpg,,4168,Torre Lomas,/oficina-en-renta/torre-lomas-queretaro-que/23038/,,255.0,200.0,MXN,,,11,Queretaro,True,False,5,True,False,Querétaro
6379,23134,SO-23134,https://solili.s3.amazonaws.com/media/PO-4078_thumbnail_1533322854.jpg,,4078,Corporativo Blanco  (Torre Invex Banco),/oficina-en-renta/corporativo-blanco-torre-invex-banco-queretaro-que/23134/,,274.45,250.0,MXN,,,1,Queretaro,True,False,5,True,False,Querétaro
6380,23480,SO-23480,https://solili.s3.amazonaws.com/media/SO-23480_thumbnail_1651162872.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23480/,,48.12,320.0,MXN,,,PB,Queretaro,True,False,5,True,False,Querétaro
6381,23481,SO-23481,https://solili.s3.amazonaws.com/media/PO-4491_thumbnail_1651163155.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23481/,,36.23,358.82,MXN,,,1,Queretaro,True,False,5,True,False,Querétaro
6382,23482,SO-23482,https://solili.s3.amazonaws.com/media/SO-23482_thumbnail_1651162897.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23482/,,62.18,350.0,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6383,23483,SO-23483,https://solili.s3.amazonaws.com/media/SO-23483_thumbnail_1651162886.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23483/,,40.37,350.0,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6384,23484,SO-23484,https://solili.s3.amazonaws.com/media/PO-4491_thumbnail_1651163155.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23484/,,30.42,350.0,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6385,23485,SO-23485,https://solili.s3.amazonaws.com/media/SO-23485_thumbnail_1651162940.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23485/,,49.0,330.0,MXN,,,3,Queretaro,True,False,5,True,False,Querétaro
6386,23486,SO-23486,https://solili.s3.amazonaws.com/media/PO-4491_thumbnail_1651163155.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23486/,,25.0,380.0,MXN,,,4,Queretaro,True,False,5,True,False,Querétaro
6387,23487,SO-23487,https://solili.s3.amazonaws.com/media/SO-23487_thumbnail_1651162969.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23487/,,49.0,330.0,MXN,,,4,Queretaro,True,False,5,True,False,Querétaro
6388,23488,SO-23488,https://solili.s3.amazonaws.com/media/SO-23488_thumbnail_1651162925.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23488/,,66.55,300.0,MXN,,,3,Queretaro,True,False,5,True,False,Querétaro
6389,23489,SO-23489,https://solili.s3.amazonaws.com/media/PO-4491_thumbnail_1651163155.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23489/,,70.07,310.0,MXN,,,5,Queretaro,True,False,5,True,False,Querétaro
6390,23490,SO-23490,https://solili.s3.amazonaws.com/media/SO-23490_thumbnail_1651163004.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23490/,,63.26,310.0,MXN,,,5,Queretaro,True,False,5,True,False,Querétaro
6391,23491,SO-23491,https://solili.s3.amazonaws.com/media/SO-23491_thumbnail_1651163017.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23491/,,57.0,330.0,MXN,,,5,Queretaro,True,False,5,True,False,Querétaro
6392,23492,SO-23492,https://solili.s3.amazonaws.com/media/PO-4491_thumbnail_1651163155.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23492/,,30.0,310.0,MXN,,,5,Queretaro,True,False,5,True,False,Querétaro
6393,23493,SO-23493,https://solili.s3.amazonaws.com/media/PO-4491_thumbnail_1651163155.jpg,,4491,Corporativo Tres20,/oficina-en-renta/corporativo-tres20-queretaro-que/23493/,,87.85,310.0,MXN,,,5,Queretaro,True,False,5,True,False,Querétaro
6394,23506,,https://solili.s3.amazonaws.com/media/PO-4199_thumbnail_1651680872.jpg,,4199,Edificio 20012 Torus,/oficina-en-renta/edificio-torus-queretaro-que/23506/,,0.0,,MXN,,,PB,Queretaro,False,False,5,True,False,Querétaro
6395,23507,,https://solili.s3.amazonaws.com/media/PO-4199_thumbnail_1651680872.jpg,,4199,Edificio 20012 Torus,/oficina-en-renta/edificio-torus-queretaro-que/23507/,,0.0,,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6396,23508,,https://solili.s3.amazonaws.com/media/PO-4199_thumbnail_1651680872.jpg,,4199,Edificio 20012 Torus,/oficina-en-renta/edificio-torus-queretaro-que/23508/,,0.0,,MXN,,,2,Queretaro,False,False,5,True,False,Querétaro
6397,23509,,https://solili.s3.amazonaws.com/media/PO-4199_thumbnail_1651680872.jpg,,4199,Edificio 20012 Torus,/oficina-en-renta/edificio-torus-queretaro-que/23509/,,0.0,,MXN,,,3,Queretaro,False,False,5,True,False,Querétaro
6398,23510,SO-23510,https://solili.s3.amazonaws.com/media/PO-4130_thumbnail_1533590316.jpg,,4130,Centro Sur 113,/oficina-en-renta/centro-sur-113-queretaro-que/23510/,,300.0,150.0,MXN,,,3,Queretaro,True,False,5,True,False,Querétaro
6399,23583,SO-23583,https://solili.s3.amazonaws.com/media/PO-4086_thumbnail_1653406821.jpg,,4086,Empresalia Edificio Sequoia,/oficina-en-renta/empresalia-edificio-sequoia-queretaro-que/23583/,,266.0,23.0,USD,,,PB,Queretaro,True,False,5,True,False,Querétaro
6400,23653,SO-23653,https://solili.s3.amazonaws.com/media/SO-23653_thumbnail_1654284626.jpg,,5289,Corporativo Fray Junípero,/oficina-en-renta/corporativo-fray-junipero-queretaro-que/23653/,,100.6,350.0,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6401,23663,SO-23663,https://solili.s3.amazonaws.com/media/PO-4078_thumbnail_1533322854.jpg,,4078,Corporativo Blanco  (Torre Invex Banco),/oficina-en-renta/corporativo-blanco-torre-invex-banco-queretaro-que/23663/,,228.24,300.0,MXN,,,7,Queretaro,True,False,5,True,False,Querétaro
6402,23664,SO-23664,https://solili.s3.amazonaws.com/media/SO-23664_thumbnail_1654528822.jpg,,4078,Corporativo Blanco  (Torre Invex Banco),/oficina-en-venta/corporativo-blanco-torre-invex-banco-queretaro-que/23664/,,51.59,350.0,MXN,35000.0,MXN,3,Queretaro,True,False,5,True,True,Querétaro
6403,23667,SO-23667,https://solili.s3.amazonaws.com/media/SO-23667_thumbnail_1654537461.jpg,,4078,Corporativo Blanco  (Torre Invex Banco),/oficina-en-renta/corporativo-blanco-torre-invex-banco-queretaro-que/23667/,,274.45,250.0,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6404,23668,SO-23668,https://solili.s3.amazonaws.com/media/SO-23668_thumbnail_1654538954.jpg,,5289,Corporativo Fray Junípero,/oficina-en-renta/corporativo-fray-junipero-queretaro-que/23668/,,77.54,515.86,MXN,,,PB,Queretaro,False,False,5,True,False,Querétaro
6405,23691,SO-23691,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23691/,,90.88,308.66,MXN,,,3,Queretaro,True,False,5,True,False,Querétaro
6406,23692,SO-23692,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23692/,,95.4,364.7,MXN,,,3,Queretaro,True,False,5,True,False,Querétaro
6407,23694,SO-23694,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23694/,,164.49,311.25,MXN,,,3,Queretaro,True,False,5,True,False,Querétaro
6408,23695,SO-23695,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23695/,,66.56,278.45,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6409,23696,SO-23696,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23696/,,78.08,290.75,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6410,23697,SO-23697,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23697/,,78.08,290.75,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6411,23698,SO-23698,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23698/,,54.4,278.38,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6412,23699,SO-23699,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23699/,,51.83,438.01,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6413,23700,SO-23700,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23700/,,78.08,343.36,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6414,23701,SO-23701,https://solili.s3.amazonaws.com/media/PO-4091_thumbnail_1655238738.jpg,,4091,Platinum Business Center T1 - T2,/oficina-en-renta/platinum-business-center-t1-queretaro-que/23701/,,17.27,,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6415,23702,SO-23702,https://solili.s3.amazonaws.com/media/PO-4092_thumbnail_1655238130.jpg,,4092,Platinum Business Center T3,/oficina-en-renta/platinum-business-center-t3-queretaro-que/23702/,,83.64,383.91,MXN,,,PB,Queretaro,True,False,5,True,False,Querétaro
